"序号","省份","学校名称","类型","学校标识码","主管部门","所在地","办学层次","备注","985","211","双一流","隶属关系","院校层级","数据状态"
"607","广东","广东东软学院","公办普通本科","4144012574","广东省教育厅","佛山市","本科","民办","","","","地方所属","公办本科","已匹配教育部名单"
"568","广东","广东海洋大学","公办普通本科","4144010566","广东省","湛江市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"582","广东","广东技术师范大学","公办普通本科","4144010588","广东省","广州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"585","广东","广东金融学院","公办普通本科","4144011540","广东省","广州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"586","广东","广东警官学院","公办普通本科","4144011110","广东省","广州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"589","广东","广东石油化工学院","公办普通本科","4144011656","广东省","茂名市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"595","广东","广东外语外贸大学","公办普通本科","4144011846","广东省","广州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"570","广东","广东医科大学","公办普通本科","4144010571","广东省","湛江市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"608","广东","广东职业技术大学","公办职业本科","","","","","","","","","待补","公办本科","待校对"
"597","广东","广州城市理工学院","公办普通本科","4144012617","广东省教育厅","广州市","本科","民办","","","","地方所属","公办本科","已匹配教育部名单"
"593","广东","广州大学","公办普通本科","4144011078","广东省","广州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"598","广东","广州工商学院","公办普通本科","4144013714","广东省教育厅","广州市","本科","民办","","","","地方所属","公办本科","已匹配教育部名单"
"594","广东","广州航海学院","公办普通本科","4144011106","广东省","广州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"601","广东","广州华立学院","公办普通本科","4144013656","广东省教育厅","广州市","本科","民办","","","","地方所属","公办本科","已匹配教育部名单"
"600","广东","广州华商学院","公办普通本科","4144012621","广东省教育厅","广州市","本科","民办","","","","地方所属","公办本科","已匹配教育部名单"
"603","广东","广州理工学院","公办普通本科","4144012668","广东省教育厅","广州市","本科","民办","","","","地方所属","公办本科","已匹配教育部名单"
"580","广东","广州美术学院","公办普通本科","4144010586","广东省","广州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"604","广东","广州南方学院","公办普通本科","4144012619","广东省教育厅","广州市","本科","民办","","","","地方所属","公办本科","已匹配教育部名单"
"605","广东","广州软件学院","公办普通本科","4144012618","广东省教育厅","广州市","本科","民办","","","","地方所属","公办本科","已匹配教育部名单"
"606","广东","广州商学院","公办普通本科","4144013667","广东省教育厅","广州市","本科","民办","","","","地方所属","公办本科","已匹配教育部名单"
"579","广东","广州体育学院","公办普通本科","4144010585","广东省","广州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"569","广东","广州医科大学","公办普通本科","4144010570","广东省","广州市","本科","","","","是","其他所属","双一流","已匹配教育部名单"
"599","广东","广州应用科技学院","公办普通本科","4144013657","广东省教育厅","广州市","本科","民办","","","","地方所属","公办本科","已匹配教育部名单"
"571","广东","广州中医药大学","公办普通本科","4144010572","广东省","广州市","本科","","","","是","其他所属","双一流","已匹配教育部名单"
"575","广东","韩山师范学院","公办普通本科","4144010578","广东省","潮州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
